id	document_id	entity_id	entity_type	paragraph	word
12759	78	1786	Models::Entity	361	38
12760	78	1879	Models::Entity	361	82
12761	78	1786	Models::Entity	361	38
12762	78	1492	Models::Article	361	35
12763	78	1786	Models::Entity	363	8
12764	78	1493	Models::Article	363	5
12765	78	1759	Models::Entity	375	22
12766	78	1759	Models::Entity	379	34
12767	78	1759	Models::Entity	381	28
12768	78	1823	Models::Entity	385	10
12769	78	1786	Models::Entity	396	8
12770	78	1863	Models::Entity	400	21
12771	78	1759	Models::Entity	402	4
12772	78	1880	Models::Entity	402	42
12773	78	1881	Models::Entity	404	7
12774	78	1786	Models::Entity	406	20
12775	78	1882	Models::Entity	406	29
12776	78	1759	Models::Entity	406	69
12777	78	1759	Models::Entity	406	69
12778	78	1759	Models::Entity	408	6
12779	78	1786	Models::Entity	408	58
12780	78	1494	Models::Article	408	55
12781	78	1883	Models::Entity	411	15
12782	78	1884	Models::Entity	416	2
12783	78	1759	Models::Entity	419	15
12784	78	1868	Models::Entity	419	29
12785	78	1759	Models::Entity	419	15
12786	78	1759	Models::Entity	421	18
12787	78	1885	Models::Entity	423	19
12788	78	1786	Models::Entity	423	33
12789	78	1759	Models::Entity	423	36
12790	78	1786	Models::Entity	425	20
12791	78	1759	Models::Entity	425	47
12792	78	1759	Models::Entity	429	7
12793	78	1886	Models::Entity	429	37
12794	78	1786	Models::Entity	431	59
12795	78	1495	Models::Article	431	54
12796	78	1496	Models::Article	431	54
12797	78	1759	Models::Entity	433	88
12798	78	1887	Models::Entity	433	99
12799	78	1759	Models::Entity	433	88
12800	78	1759	Models::Entity	433	88
12801	78	1759	Models::Entity	435	7
12802	78	1759	Models::Entity	435	7
12803	78	1759	Models::Entity	437	8
12804	78	1888	Models::Entity	437	22
12805	78	1889	Models::Entity	437	61
12806	78	1759	Models::Entity	437	8
12807	78	1890	Models::Entity	437	66
12808	78	1759	Models::Entity	437	8
12809	78	1891	Models::Entity	437	153
12810	78	1786	Models::Entity	437	171
12811	78	1497	Models::Article	437	166
12812	78	1498	Models::Article	437	166
12813	78	1882	Models::Entity	439	16
12814	78	1759	Models::Entity	439	74
12815	78	1892	Models::Entity	439	98
